,year,wb_pl_gdp_per_cap,wb_mx_gdp_per_cap,fmex,fpol,_merge
0,2022,18688.0044867103,11496.5228716049,20.120828399999997,14.4294507575758,both
1,2021,18050.2794441161,10359.1498625832,20.284382730923696,5.05502704719272,both
2,2020,15816.8204021382,8894.89065003643,21.5462092,3.37446972618589,both
3,2019,15700.0135796738,10434.5783651735,19.24693373493976,2.227478809383,both
4,2018,15504.5089370714,10130.3206984553,19.217900803212853,1.81295156542679,both
5,2017,13815.4999463758,9693.33009125499,18.884065863453817,2.0759355367385,both
6,2016,12378.8117641782,9152.73722334937,18.667388446215142,-0.664767331433961,both
7,2015,12560.051419682,10098.1731805195,15.873454183266933,-0.87412587412577,both
8,2014,14181.9486817352,11490.0216901556,13.3021868,0.0538213132399802,both
9,2013,13558.3411314221,11317.4910611485,12.758429880478086,0.991982606332428,both
10,2012,13010.7555868425,10842.7330888296,13.15389203187251,3.56037151702783,both
11,2011,13776.3883624327,10766.6099388208,12.427027888446215,4.2394014962594,both
12,2010,12504.2501856093,9823.16407600128,12.623667600000001,2.58069370250543,both
13,2009,11525.9007370991,8495.65308070414,13.497871428571429,3.79539242483406,both
14,2008,13995.7811598115,10589.9518745518,11.142532142857142,4.16497193524764,both
15,2007,11254.3140875349,10178.4422371206,10.92809409448819,2.45874312385402,both
16,2006,9035.53275810927,9545.28672531477,10.905556972111555,1.28469394366408,both
17,2005,8021.54789037388,8702.11448090478,10.893849800796813,2.18379872390258,both
18,2004,6681.30975087388,7883.5231908285,11.289707509881422,3.38264681884691,both
19,2003,5701.63886301914,7473.93237537911,10.792529083665338,0.682701375787681,both
20,2002,5207.129304207,8032.99212058539,9.663267729083666,1.90528215048055,both
21,2001,4991.24435799511,8009.15833972447,9.33664,5.40833545566148,both
22,2000,4501.47996121234,7581.84564147003,9.458606746031744,9.90017538843064,both
23,1999,4398.07217426732,6552.6610754969,9.553269047619048,7.15407291179862,both
24,1998,4518.10822630174,5882.4214338638,9.152084920634922,11.5978554257235,both
25,1997,4123.14567666725,5617.43024399101,7.917674900398406,14.9131586149599,both
26,1996,4147.46550145483,4718.57408573156,7.600434523809524,19.7949669196707,both
27,1995,3686.84514580278,4225.40044835213,6.446705179282869,27.951388563304,both
28,1994,2874.83163555069,6268.71832284995,NA,32.9912766093522,both
29,1993,2497.13055936127,6118.52586329108,NA,36.9641666120718,both
30,1992,2459.02068468253,4272.78872597018,NA,46.0985621037431,both
31,1991,2235.54108862522,3756.85259707081,NA,76.7694992087347,both
32,1990,1731.2095094382,3196.92006131977,NA,567.878800666191,both
33,1975,NA,NA,NA,2.2563176895509,right_only
34,1976,NA,NA,NA,4.41306266552893,right_only
35,1977,NA,NA,NA,4.90278951821559,right_only
36,1978,NA,NA,NA,8.10126582278465,right_only
37,1979,NA,NA,NA,7.02576112412187,right_only
38,1980,NA,NA,NA,9.68271334792129,right_only
39,1981,NA,NA,NA,19.1271820448877,right_only
40,1982,NA,NA,NA,103.55871886121,right_only
41,1983,NA,NA,NA,25.534759358289,right_only
42,1984,NA,NA,NA,15.4009994265582,right_only
43,1985,NA,NA,NA,11.5212607368495,right_only
44,1986,NA,NA,NA,16.5499681731383,right_only
45,1987,NA,NA,NA,26.3790278536323,right_only
46,1988,NA,NA,NA,58.7208297320654,right_only
47,1989,NA,NA,NA,244.550932984827,right_only
