,type,description
0,required,PPHA 30535 or PPHA 30537 Data and Programming for Public Policy I
1,required,PPHA 30536 or PPHA 30538 Data and Programming for Public Policy II
2,required,PPHA 30545 or PPHA 30546 Machine Learning
3,required,BUSN 41204 Machine Learning 
4,required,CMSC 35300 Mathematical Foundations of Machine Learning
5,required,"MACS 33002 Introduction to Machine Learning
	 "
6,elective,PPHA 34600 Program Evaluation 
7,elective,PPHA 38829 Artificial Intelligence for Public Policy
8,elective,PPHA 42000 Applied Econometrics I 
9,elective,PPHA 42100 Applied Econometrics II 
10,elective,PPHA 60000 Policy Labs (with permission of the Specialization Director)
11,elective,BUSN 37304 Digital and Algorithmic Marketing
12,elective,BUSN 37105 Data Science for Marketing Decision Making
13,elective,BUSN 40206 Healthcare Business Analytics
14,elective,BUSN 41100 Applied Regression Analysis
15,elective,BUSN 41201 Big Data
16,elective,CAPP 30300 / PPHA 30581 Data Science Clinic
17,elective,ECMA 31130 Topics in Microeconomics
